id,city,country,fullStreetAddress,postalCode,stateOrProvince,unitNumber,bathrooms,bedrooms,listingDescription,listingTitle,latitude,longitude,listPrice,livingArea,livingAreaUnit,yearBuilt,lotSize,lotSizeUnit,propertySubType,listingCategory,numParkingSpaces,createdAt,geocodioAccuracyScore,photoscount,grade
2698139,St Peters,US,12 Legacy Estates Lane,63376,MO,,6,5,"Tucked away in the private Legacy Estates subdivision on a cul de sac, this Custom Built Five bedroom,4 Full 2 Half bath home with a PRIVATE LAKE is waiting for you.  Walk into gleaming hardwood floors, ample natural light, flanked by formal dining room and living room. Two Story family room with gas fireplace overlooks screened in porch and backyard.  Kitchen fit for a chef feature a center island, jen-air electric cook top, country cabinets and hardwood floors opens to breakfast room and sitting area.  Spacious Main floor master suite overlooks private lake with luxury master bath with his/her sink and large soaking tub. Three Spacious upstairs bedrooms one on suite and a large hall bath.  Finished Lower level is perfect for entertaining or movie night and boasts another full bedroom and bath.  3 Car Garage, private cul-de-sac lot and your own lake make this the home not to miss! Moments access to local shops, eateries and interstates.","Residential, Traditional - St Peters, MO",,,425000,3046,squareFoot,1998,,squareFoot,Single Family Detached,Purchase,3,2019-02-21 14:53:27.462+00,,29,awesome
2698093,St Louis,US,222 Euclid Avenue,63119,MO,,2,3,"This charming Ranch offers hardwood flooring on the main floor with 3 bedrooms. Nice living/dining room features hardwood and large picture window. The kitchen features a gas range/oven, microwave, dishwasher, frig and window above the sink. Master bedroom offers hardwood flooring and two closets. Two other bedrooms with hardwood and ceiling light plus a full bathroom with linen closet, tile floor, decorative wainscoting and tub/shower combo round out the main floor. Enjoy the finished lower level featuring a FAM/REC area, kitchen nook with cabinets, counter space & frig, full bathroom, laundry room with utility sink plus a finished room perfect for a sleeping area, craft room or your personal office. Large level yard with mature trees, firepit, partial fencing plus a covered one car carport. Great location with Tilles Park nearby, say “Yes to the Address” and make this your next home.","Residential, Traditional,Ranch - St Louis, MO",,,175000,1587,squareFoot,1962,7753.68,squareFoot,Single Family Detached,Purchase,1,2019-02-21 14:53:07.92+00,,29,awesome
2698007,Ballwin,US,741 Woodside Trails Drive,63021,MO,,3,3,"This is the LARGEST Villa-style condo in this very desirable complex. It is an end unit condo flanked by windows all along the Northern exposure. The sun drenched vaulted living area is complemented by a marble surrounded wood burning fireplace and NEW engineered wood flooring through out the main level. Updated kitchen boasts NEW granite counter tops NEW tiled back splash, indirect lighting, Breakfast bar, and NEW stainless steel appliances. Master bedroom suite features a walk-in closet, double vanity, tub and separate shower. The additional 2 bedrooms on the main level are generously sized and have ample closet space. The main floor laundry is off the second hall bath. The NEW covered deck off the Kitchen and Living area is a perfect place to sit with a view of the common ground and enjoy nature. The walkout lower level is complete with a Family Room, Bonus Room which could be used as an office or additional bedroom, third bath with a large shower and a huge 8 x 14 cedar closet.","Traditional,Ranch, Condo - Ballwin, MO",,,295000,2437,squareFoot,1986,14766.84,squareFoot,Condominium,Purchase,2,2019-02-21 14:52:30.126+00,,29,awesome
2697963,Manchester,US,301 Wembley Lane,63021,MO,,2,3,"Over 1700 sq ft of updated living space in convenient Manchester location! Three bedrooms, two full baths in this split foyer on cul-de-sac lot; Hardwood flooring throughout entire main level, except kitchen and bath which both boast ceramic tile; Open floor plan; Neutral paint throughout; Gorgeous updated kitchen with stone tile backsplash, multi-level breakfast bar, plenty of cabinetry and under-cabinet lighting; Main floor full bath with dual entrances, one from the hall and the second from the Master Bedroom; The lower level offers newer carpet and a second full bath; Deck and patio overlook large fenced yard with mature trees; HVAC & Windows, 2015; Back wood fence, 2019; Excellent location near shopping and restaurants; Parkway Schools!","Traditional,Split Foyer, Residential - Manchester, MO",,,215000,1780,squareFoot,1969,11848.32,squareFoot,Single Family Detached,Purchase,2,2019-02-21 14:52:11.85+00,,29,awesome
2697938,O'fallon,US,27 Clear Meadows,63366,MO,,4,4,"Move in ready, excellent condition. Outstanding Two Story Home on culdesac minutes from highways (i70 & 40/61), shopping, and schools. 2-story entry & rich hardwood flooring that flows through most of the main level. 9' ceilings on main level. Striking kitchen and breakfast room area w/stainless steel appliances, downdraft cooktop, granite counter and backsplash, & center island. Grab a book and enjoy your hearth room just off the breakfast room. Bright & open great room w/ 5-window bay, and windows flanking gas fireplace w/marble surround. Relaxation is an understatement in this master suite -- coffered ceiling, marble package, his/her closets, adult height vanity & corner tub. Also Upstairs is an exceptional loft area and three add'l bdrms. Bdrms 2 & 3 share Jack N Jill bath. Bdrm #4 has an in-suite bath. Let's not forget upgraded brush nickel hardware, crown molding, and rough-in in LL w/ egress window.","Residential, Traditional - O'Fallon, MO",,,375000,3405,squareFoot,2007,10890,squareFoot,Single Family Detached,Purchase,3,2019-02-21 14:51:55.495+00,,29,awesome
2697936,Wildwood,US,16779 Hickory Crest Drive,63011,MO,,3,4,"Beautiful Hickory Manor home just hit the market in Wildwood! This 2-story home features 4 bedrooms, 2.5 bathrooms & over 1800 sq. ft. of living space! The first floor features NEW engineered hardwoods & FRESH PAINT! Eat in kitchen comes equipped w/desk nook & breakfast bar. MAIN FLOOR LAUNDRY & over-sized 2-car garage round out the main level. 4 spacious bedrooms upstairs, complete w/master suite featuring walk-in closet, dual sinks & separate shower/tub! During the warmer months, entertain in style out back on the walk-down deck to the fully fenced in backyard! Walk-out basement offers ample storage & is ready for buyers' personal touches! NEW ROOF (2015) & NEW HVAC (2018), too! Located in the highly coveted Rockwood School District , this home is zoned for Green Pines, Wildwood Middle & Lafayette High School - it won't last long! SCHEDULE YOUR SHOWING TODAY!","Residential, Traditional - Wildwood, MO",,,299900,1814,squareFoot,1999,6098.4,squareFoot,Single Family Detached,Purchase,2,2019-02-21 14:51:54.803+00,,29,awesome
2697845,Monroe City,US,3 Willow Estates Place,63456,MO,,1,2,"Great opportunity to own property close to MARK TWAIN LAKE. Minutes for Blackjack Marina off of Rt. J. This 40x70 metal building is situated on 3.2 m/l acres and ready for your finishing touches. All the hard work has been done, plumbing, wiring, HVAC, insulation, lagoon, windows, doors and exterior finish. Approximately 1521 square feet of living space and approximately 1279 square feet of garage/storage space. Road association fee $250/year.","Residential - Monroe City, MO",,,140000,2800,squareFoot,2012,140176.08,squareFoot,Single Family Detached,Purchase,2,2019-02-21 14:51:05.514+00,,29,awesome
2697825,Bismarck,US,438 West Main Street,63624,MO,,1,3,"ADORABLE, EDGE OF TOWN, BRICK RANCH!  1/2 acre level, corner lot at with COUNTRY VIEW & city utilities.  UPDATED 3+ bedroom home has so much to offer: OPEN FLOOR PLAN!  NEW kitchen with stainless steel appliances, NEW drywall, NEW bathroom, large living room with hardwood floors, central heat & air, COVERED DECK, lots of natural light & shade. Overlooks fields, carport for vehicle, additional off-street parking! 2 OUTBUILDINGS for storage & workshop, carport!","Residential, Traditional,Ranch - Bismarck, MO",,,82500,1435,squareFoot,1954,,squareFoot,Single Family Detached,Purchase,1,2019-02-21 14:50:54.169+00,,29,awesome
2697732,St Louis,US,2140 Nebraska Avenue,63104,MO,,4,4,"Welcome home to this very contemporary and historic 4 bed, 3.5 bath fee simple row home in Fox Park. You will be pleasantly greeted with soaring 10 ft ceilings, a spacious living room with vented gas log fireplace, fantastic stained glass picture window and open spindled staircase. Throw your best parties in the huge dining room. The eat-in kitchen offers tons of custom European cabinets, large pantry, granite counter-tops, clean subway tiled back-splash and stainless appliances. Upstairs in an inviting and spacious master bedroom suite featuring double closets, a large guest bedroom, guest bath and laundry. 3rd floor has 2 additional large bedrooms, add'l expansive closets and guest bath. Low maintenance backyard, patio space and 2 car California carport w/ garage doors make this the perfect place for easy seasonal enjoyment. Solid wood doors, updated lighting, newer plumbing, electric, zoned HVAC, clean walkout basement makes this home a winner!","Residential, Traditional - St Louis, MO",,,239900,2358,squareFoot,1903,2700.72,squareFoot,Single Family Detached,Purchase,2,2019-02-21 14:50:19.474+00,,29,awesome
2697716,Fenton,US,1719 Praise,63026,MO,,3,3,"Open House Sun. 2/17 1-3. All offers will be reviewed Monday @ 6:00 pm. Beautifully maintained 3 bed, 2 1/2 bath in Fenton. Feel the warmth and charm immediately when you enter the great room with vaulted ceilings, open floor plan and wood burning fireplace. The large kitchen has lots of cabinet space, stainless appliances and the bay window provides plenty of natural light. The huge master bed has plenty of room with a walk in closet, updated bath and new flooring. The second full bath has also been updated. The main floor laundry with large sink off the garage is very convenient. When you are ready to unwind or entertain you have options. Step outside to the tranquil setting of the back yard on a large deck topped with a pergola canopy. Or head downstairs to the wet bar and large recreation area perfect for watching your favorite sporting events or movies. Easy access to major highways, shopping, restaurants, and award winning Rockwood Schools.","Residential, Traditional,Ranch - Fenton, MO",,,239900,1524,squareFoot,1985,9583.2,squareFoot,Single Family Detached,Purchase,2,2019-02-21 14:49:34.972+00,,29,awesome
